,ID,Haus/Wohnung,ID.1,Miete/Kauf,address,balcony,builtInKitchen,city,floorplan,from,garden,livingSpace,numberOfRooms,postcode,price,privateOffer,quarter,title,url,price_sq_m,lat1,lon1
3036,87198790,Wohnung,87198790.0,Miete,"Reußstraße 18, Spandau (Spandau), Berlin",False,False,Berlin,True,001.714505,False,76.0,3.0,13587.0,600.0,False,Spandau (Spandau),3-Raum-Wohnung in Spandau-Hakenfelde,https://www.immobilienscout24.de/expose/87198790,7.894736842110001,52.56052,13.205620000000001
3037,87253642,Wohnung,87253642.0,Miete,"Hohenzollerndamm 58, Schmargendorf (Wilmersdorf), Berlin",False,False,Berlin,True,002.01000732049,False,34.04,1.0,14199.0,579.0,False,Schmargendorf (Wilmersdorf),Lichtdurchflutete City-Wohnung,https://www.immobilienscout24.de/expose/87253642,17.0094007051,52.48648000000001,13.2971
3038,87268764,Wohnung,87268764.0,Miete,"Geusenstraße 2, Lichtenberg (Lichtenberg), Berlin",False,False,Berlin,False,001.4134044,False,26.5,1.0,10317.0,315.35,False,Lichtenberg (Lichtenberg),Kleines Heim im beliebten Kaskelkiez befristet 5 Jahre Sonntagsbesichtigung,https://www.immobilienscout24.de/expose/87268764,11.9,52.504,13.47974
3039,87433055,Wohnung,87433055.0,Miete,"Königin-Luise-Str. 5, Dahlem (Zehlendorf), Berlin",False,True,Berlin,False,001.15697929,False,22.2,1.0,14195.0,420.0,False,Dahlem (Zehlendorf),"Modernes, möbliertes Wohnen nahe der FU !",https://www.immobilienscout24.de/expose/87433055,18.9189189189,52.45919,13.30531
3040,87443007,Wohnung,87443007.0,Miete,"Emdener Straße 38, Tiergarten (Tiergarten), Berlin",False,True,Berlin,True,001.1242005,False,129.79,4.0,10551.0,1015.0,False,Tiergarten (Tiergarten),Tiergarten - U-Birkenstraße! Gepflegte 4 Zimmer - Laminat - Gäste-WC - EBK - ca. 130m² - 1.329€ warm,https://www.immobilienscout24.de/expose/87443007,7.820325140610001,52.531769999999995,13.334129999999998
3041,87463905,Wohnung,87463905.0,Miete,"Luckenwalder Straße 86, Hellersdorf (Hellersdorf), Berlin",False,False,Berlin,True,001.170090,False,60.0,3.0,12629.0,450.0,False,Hellersdorf (Hellersdorf),Kein mühsames Treppensteigen - Parterrewohnung,https://www.immobilienscout24.de/expose/87463905,7.5,52.544819999999994,13.585220000000001
3042,87475137,Wohnung,87475137.0,Miete,"Königin-Luise-Str. 5, Dahlem (Zehlendorf), Berlin",True,True,Berlin,False,001.15697929,False,19.69,1.0,14195.0,380.0,False,Dahlem (Zehlendorf),"Möbliertes, modernes 1-Zi-Appartement nahe FU mit schicker Einbauküche!",https://www.immobilienscout24.de/expose/87475137,19.2991366176,52.45919,13.30531
3043,87506281,Wohnung,87506281.0,Miete,"Prenzlauer Promenade 191, Pankow (Pankow), Berlin",True,True,Berlin,True,001.497843,True,142.18,3.5,13189.0,1777.25,False,Pankow (Pankow),"3,5-Zimmer im Neubau am Nordrand Prenzl. Berg",https://www.immobilienscout24.de/expose/87506281,12.5,52.551919999999996,13.43
3044,87560030,Wohnung,87560030.0,Miete,"Kreuzberg (Kreuzberg), Berlin",False,False,Berlin,False,002.01007540282,True,99.0,3.0,10696.0,2500.0,False,Kreuzberg (Kreuzberg),NEW - Wundervolle 3 Raum Wohnung - Toll,https://www.immobilienscout24.de/expose/87560030,25.2525252525,52.4877388,13.3815238
3045,87594002,Wohnung,87594002.0,Miete,"Alex-Wedding-Straße 3, Mitte (Mitte), Berlin",True,True,Berlin,False,001.15697929,False,23.16,1.0,10178.0,465.0,False,Mitte (Mitte),1 Zimmer-Studenten-Appartement - frei ab 01.09.2018,https://www.immobilienscout24.de/expose/87594002,20.0777202073,52.52502,13.41559
