ID,Haus/Wohnung,ID,Miete/Kauf,address,balcony,builtInKitchen,city,floorplan,from,garden,lat,livingSpace,lon,numberOfRooms,postcode,price,privateOffer,quarter,title,url,price_sq_m
101628962,Wohnung,101628962,Miete,"Rudolf-von-Gneist-Gasse 4, Tiergarten (Tiergarten), Berlin",true,true,Berlin,false,001.1011756,false,52.50735,93.8,13.37382,3,10785,1750,false,Tiergarten (Tiergarten),Pied-à-terre im Herzen Berlins!,https://www.immobilienscout24.de/expose/101628962,18.6567164179
101628964,Wohnung,101628964,Miete,"Rudolf-von-Gneist-Gasse 4, Tiergarten (Tiergarten), Berlin",false,true,Berlin,false,001.1011756,false,52.50735,66.83,13.37382,2,10785,1250,false,Tiergarten (Tiergarten),Wohnen in beliebter Lage am Potsdamer Platz!,https://www.immobilienscout24.de/expose/101628964,18.7041747718
101639570,Wohnung,101639570,Miete,"Voigtstr. 34, Friedrichshain (Friedrichshain), Berlin",true,false,Berlin,true,001.13757876,true,52.51735,46.35,13.46848,2,10247,1500,false,Friedrichshain (Friedrichshain),Möblierte Wohnungen im Samariteviertel mit luxus Ausstattung,https://www.immobilienscout24.de/expose/101639570,32.3624595469
101697726,Wohnung,101697726,Miete,"Hohenzollerndamm 58, Schmargendorf (Wilmersdorf), Berlin",true,false,Berlin,true,002.01000732049,false,52.48648,66.96,13.2971,2,14199,1138,false,Schmargendorf (Wilmersdorf),Den Teufelsberg im Blick!,https://www.immobilienscout24.de/expose/101697726,16.9952210275
101712930,Wohnung,101712930,Miete,"Schmargendorf (Wilmersdorf), Berlin",true,true,Berlin,true,001.933825,false,,131,,3,14199,2200,false,Schmargendorf (Wilmersdorf),Penthouse in Schmargendorf,https://www.immobilienscout24.de/expose/101712930,16.7938931298
101723480,Wohnung,101723480,Miete,"Tegel (Reinickendorf), Berlin",true,false,Berlin,false,001.210901,false,,63,,2,13507,999,false,Tegel (Reinickendorf),Erstbezug auf der Humboldtinsel,https://www.immobilienscout24.de/expose/101723480,15.8571428571
101747510,Wohnung,101747510,Miete,"Charlottenburg (Charlottenburg), Berlin",true,true,Berlin,false,001.178607,false,,423.15,,10,14057,5922,false,Charlottenburg (Charlottenburg),KAISERDAMM - WOHNEN  - NAHE LIETZENSEE - WIRD 2018 FRISCH SANIERT,https://www.immobilienscout24.de/expose/101747510,13.9950372208
101747656,Wohnung,101747656,Miete,"Französische Straße 56, Mitte (Mitte), Berlin",false,true,Berlin,true,001.12875085,false,52.51469,126.71,13.38749,3,10117,2380,false,Mitte (Mitte),Luxus Pur im Zentrum *  Bestlage * ruhig gelegen * Erstbezug * TG,https://www.immobilienscout24.de/expose/101747656,18.7830479047
101747716,Wohnung,101747716,Miete,"Charlottenburg (Charlottenburg), Berlin",true,true,Berlin,true,001.178607,false,,220,,5,14057,3080,false,Charlottenburg (Charlottenburg),KAISERDAMM - WOHNEN  - NAHE LIETZENSEE - WIRD 2018 FRISCH SANIERT,https://www.immobilienscout24.de/expose/101747716,14.0
101747944,Wohnung,101747944,Miete,"Französische Straße 56, Mitte (Mitte), Berlin",true,true,Berlin,true,001.12875085,false,52.51469,80,13.38749,2,10117,1600,false,Mitte (Mitte),Traumhaftes Wohnen *  Bestlage * zentral & ruhig * Erstbezug,https://www.immobilienscout24.de/expose/101747944,20.0
101766005,Wohnung,101766005,Miete,"Wilhemshavener Straße 10, Tiergarten (Tiergarten), Berlin",true,true,Berlin,false,009.946a05af-03bf-49e4-9e2d-bac6399605e7,false,52.52925,59,13.34167,2,10551,460,true,Tiergarten (Tiergarten),"Befristet von  Juli - Sept. 2018: Nette, möblierte 2 Zi. EG-Whg im hellen Hinterhof ,Tiergarten",https://www.immobilienscout24.de/expose/101766005,7.79661016949
101773333,Wohnung,101773333,Miete,"Oberwallstraße 14, Mitte (Mitte), Berlin",false,true,Berlin,false,001.1011756,false,52.51373,109,13.39715,1,10117,1450,false,Mitte (Mitte),Shared Office Space in Top Lage!,https://www.immobilienscout24.de/expose/101773333,13.3027522936
